This is test output
file open
alive : 8
uncle's : 1
clearly : 11
making : 18
miserably : 5
lap : 4
tearing : 3
pieces : 8
didnt : 1
stayed : 7
nailed : 1
see," : 1
explained : 5
mouthful : 2
nails : 2
deliver : 3
they'll : 9
up. : 6
that'll : 4
vernon. : 1
minds : 4
ways : 7
knock : 9
nail : 1
piece : 8
fruitcake : 1
brought : 18
friday : 4
pushed : 16
slotted : 1
sides : 3
burning : 3
hammer : 1
boarded : 1
cracks : 2
tiptoe : 2
tulips : 1
worked : 7
jumped : 14
noises : 2
twenty-four : 1
milkman : 1
post : 2
dairy : 1
shredded : 1
processor : 1
earth : 10
badly? : 1
amazement : 4
sunday : 1
ill : 2
sundays, : 1
cheerfully : 3
spread : 2
marmalade : 2
newspapers : 1
damn : 1
whizzing : 1
forty : 1
pelting : 2
fireplace : 4
bullets : 1
ducked : 2
out! : 5
waist : 3
faces : 13
shut : 22
bouncing : 2
tufts : 1
pack : 6
arguments! : 1
missing : 4
wrenched : 3
boarded-up : 1
speeding : 6
highway : 1
sniffling : 1
sports : 1
opposite : 9
shake'em : 1
off.. : 2
'em : 10
off, : 1
mutter : 3
whenever : 2
eat : 10
drink : 7
nightfall : 1
howling : 7
hungry : 4
programs : 1
blowing : 2
alien : 1
gloomy-looking : 1
hotel : 3
outskirts : 1
city : 1
shared : 2
twin : 9
beds : 2
damp : 8
musty : 1
sheets : 4
snored : 1
windowsill : 2
passing : 7
cars : 1
wondering... : 1
stale : 1
cornflakes : 1
tinned : 1
tomatoes : 1
toast : 3
owner : 1
'scuse : 1
'undred : 1
desk. : 1
address: : 1
17 : 1
railview : 1
cokeworth : 1
dining : 1
dear? : 1
timidly : 2
forest : 30
plowed : 1
field : 16
halfway : 8
suspension : 1
bridge : 1
multilevel : 1
garage : 1
daddy's : 1
hasn't : 6
dully : 1
parked : 1
coast : 1
beat : 4
dud : 1
ley : 1
sniveled : 1
monday, : 1
humberto's : 1
monday : 2
count : 2
days : 11
tomorrow : 8
eleventh : 1
birthdays : 1
fun : 7
hanger : 1
package : 13
place! : 1
rock : 11
sea : 8
perched : 4
shack : 2
certain : 1
storm : 10
forecast : 1
tonight! : 1
gleefully : 1
clapping : 5
gentleman's : 1
kindly : 2
agreed : 10
lend : 1
boat! : 2
toothless : 2
ambling : 1
wicked : 3
rowboat : 1
bobbing : 4
iron-gray : 1
below : 6
rations, : 1
aboard! : 1
freezing : 2
boat : 8
icy : 4
spray : 2
chilly : 1
whipped : 4
slipping : 3
sliding : 3
led : 8
broken-down : 2
strongly : 4
seaweed : 1
whistled : 3
gaps : 1
wooden : 8
empty : 23
rooms : 2
rations : 1
chips : 1
bananas : 1
fire : 35
chip : 2
bags : 4
smoked : 1
shriveled : 2
eh? : 7
chance : 10
reaching : 3
privately : 2
cheer : 8
waves : 1
splattered : 1
hut : 17
fierce : 4
filthy : 1
moldy : 2
moth-eaten : 1
sofa : 10
lumpy : 6
softest : 1
curl : 1
thinnest : 1
ragged : 1
blanket : 1
raged : 1
ferociously : 1
shivered : 6
comfortable : 2
hunger : 2
snores : 1
drowned : 2
rolls : 2
thunder : 1
lighted : 2
dial : 1
wrist : 5
minutes' : 3
tick : 1
nearer : 14
wondering : 11
writer : 1
creak : 1
warmer : 1
steal : 11
slapping : 1
crunching : 4
crumbling : 1
seconds.. : 1
twenty : 8
ten.. : 1
nine : 18
annoy : 1
three.. : 1
two.. : 1
one.. : 1
boom : 2
upright : 2
knocking : 8
keys : 11
cannon? : 1
stupidly : 2
skidding : 1
warn : 4
armed! : 2
pause : 3
smash : 2
clean : 7
hinges : 1
doorway : 6
mane : 2
tangled : 2
glinting : 4
beetles : 1
stooping : 1
brushed : 1
easily : 7
frame : 3
dropped : 21
o' : 28
yeh : 92
journey... : 1
strode : 7
lump, : 1
squeaked : 4
crouching : 2
terrified : 8
here's : 2
harry! : 10
shadowy : 2
beetle : 2
crinkled : 1
las' : 3
baby, : 1
dad : 10
yeh've : 7
mom's : 2
eyes. : 1
rasping : 1
demand : 1
sit! : 1
breaking : 8
entering! : 1
ah, : 6
prune, : 1
gun : 1
knot : 1
rubber : 1
mouse : 2
anyway : 20
summat : 6
fer : 29
mighta : 3
taste : 2
right. : 6
overcoat : 4
slightly : 7
squashed : 1
box : 9
sticky : 2
icing : 1
lost : 29
true, : 2
introduced : 1
meself : 3
rubeus : 2
grounds : 14
hogwarts. : 5
enormous : 5
rubbing : 3
stronger : 1
mind. : 1
grate : 2
drew : 9
filled : 7
flickering : 3
warmth : 5
sunk : 3
hot : 7
bath : 1
sagged : 2
weight : 1
pockets : 8
coat: : 1
copper : 3
kettle : 3
sausages : 6
poker : 2
teapot : 3
chipped : 2
mugs : 1
bottle : 11
amber : 1
liquid : 1
swig : 1
sizzling : 1
sausage : 3
juicy : 1
burnt : 1
fidgeted : 1
touch : 11
gives : 4
puddin' : 1
don' : 25
fattenin' : 1
anymore : 6
worry. : 1
wonderful : 6
are. : 2
gulp : 2
wiped : 3
hagrid, : 10
hogwarts : 63
yeh'll : 5
sony?" : 1
shrank : 3
shadows : 7
it' : 1
s : 3
gettin' : 6
yer : 53
abou' : 6
cryin' : 1
loud : 14
wonder : 10
all? : 6
thundered : 4
jus' : 9
second! : 1
anger : 4
fill : 1
cowering : 1
growled : 7
nothin' : 5
anything? : 3
marks : 4
things, : 1
math : 1
stuff. : 1
parents' : 2
world. : 1
world? : 1
explode : 1
dursley!" : 1
boomed : 1
pale : 20
sounded : 10
mimblewimble." : 1
mom : 12
famous. : 1
they? : 7
fixing : 1
bewildered : 3
are? : 1
stop!" : 1
commanded : 1
forbid : 3
anything! : 1
braver : 4
quailed : 1
syllable : 1
rage : 4
years? : 1
eagerly : 7
stop! : 1
you! : 6
panic : 5
gasp : 2
boil : 1
yeh, : 1
wizard. : 2
whistling : 2
wizard : 38
course, : 2
sank : 5
lower : 5
thumpin' : 1
good'un : 1
trained : 1
mum : 5
yours : 5
reckon : 6
hut-on-the-rock : 1
read: : 4
witchcraft : 5
wizardry : 5
headmaster: : 1
merlin : 2
grand : 1
sorc. : 1
chf : 1
warlock : 1
supreme : 1
mugwump : 1
international : 1
confed : 1
wizards : 16
pleased : 19
inform : 1
please : 14
enclosed : 1
list : 6
necessary : 1
equipment : 3
term : 5
begins : 2
1 : 3
await : 2
31 : 2
sincerely : 1
minerva : 1
deputy : 1
exploded : 5
fireworks : 1
decide : 4
stammered : 3
owl? : 2
gallopin' : 1
gorgons : 1
reminds : 3
cart : 13
horse : 4
ruffled-looking : 1
quill : 4
roll : 7
tongue : 2
teeth : 9
scribbled : 3
note : 22
upside : 1
down: : 1
weather's : 1
clamped : 2
beak : 3
i? : 5
ashen-faced : 1
firelight : 1
going, : 1
interested : 8
muggle, : 1
nonmagic : 1
folk : 4
thern : 1
on. : 9
swore : 3
rubbish, : 2
indeed! : 1
knew? : 1
wizard? : 1
knew!" : 1
shrieked : 5
knew! : 1
dratted : 1
that-that : 1
school-and : 1
frog : 8
spawn : 1
teacups : 1
rats : 4
freak : 1
witch : 11
family! : 2
draw : 1
ranting : 1
wanting : 8
married : 2
abnormal : 1
herself : 8
blown : 5
crash! : 2
scuttled : 2
outrage : 1
scandal : 1
knowin' : 3
kid : 5
happened? : 3
urgently : 2
faded : 8
this, : 5
idea : 18
ah : 4
3 : 3
gotta : 8
knowin'. : 1
everythin' : 2
myst'ry : 4
parts : 1
it.... : 1
incredible : 4
who? : 1
sayin' : 3
does. : 2
not? : 4
gulpin' : 1
gargoyles : 1
scared : 12
blimey : 3
went.. : 1
was... : 1
gulped : 2
down? : 2
nah : 4
-can't : 1
spell : 13
lookin' : 3
followers : 2
afraid : 9
'cause : 6
friendly : 4
witches.. : 1
'course : 3
killed : 12
safe : 17
places : 3
now, : 23
girl : 10
side : 31
before.. : 1
anythin' : 12
'em.. : 1
outta : 10
village : 3
halloween : 10
foghorn : 1
nicer : 2
anyway... : 1
job : 9
killin' : 2
mark : 5
ordinary : 9
powerful : 12
evil : 7
curse : 10
touches : 2
witches : 7
mckinnons : 1
bones : 1
prewetts : 1
lived. : 1
remembered : 9
life: : 1
cruel : 1
sadly : 2
ruined : 3
orders : 2
lot... : 1
load : 1
tosh, : 1
courage : 5
glaring : 3
fists : 3
clenched : 2
boy, : 2
accept : 2
beating : 2
cured : 1
denying : 1
world's : 1
wizarding : 6
types : 1
battered : 3
umbrella : 9
sword : 1
-i'm : 2
word.. : 1
speared : 1
bearded : 1
failed : 3
flattened : 2
better, : 1
breathing : 6
vol-- : 1
you-know-who? : 1
makes : 4
see.. : 3
why'd : 1
codswallop : 2
dunno : 5
human : 6
die : 8
bidin' : 1
ours : 4
kinda : 1
trances : 1
don~ : 1
could've : 3
comin' : 1
weak : 5
carry : 5
somethin' : 5
goin' : 2
stumped : 3
respect : 1
blazing : 2
mistake : 7
clouted : 1
bullied : 1
warty : 2
toads : 2
lock : 9
defeated : 1
sorcerer : 1
kick : 4
football : 1
quietly : 13
eh : 6
angry? : 2
angry.. : 1
chased : 2
reach.. : 1
dreading : 2
ridiculous : 2
grow : 2
back.. : 1
revenge : 1
realizing : 4
positively : 1
beaming : 5
see?" : 4
going? : 2
grateful : 3
needs : 7
rubbish : 2
wands : 11
potter' : 1
name's : 4
born : 1
finest : 1
seven : 22
youngsters : 1
sort : 25
headmaster : 3
dumbled-- : 1
am : 9
paying : 1
crackpot : 1
fool : 4
teach : 7
magic : 43
tricks! : 1
whirled : 2
never," : 2
insult- : 1
albus- : 1
dumbledore- : 1
in- : 1
front- : 1
of- : 1
me! : 9
swishing : 3
firecracker : 1
squeal : 2
dancing : 3
clasped : 2
bottom : 8
curly : 1
pig's : 1
poking : 4
hole : 12
trousers : 3
cast : 2
shouldn'ta : 2
temper, : 1
ruefully : 1
do. : 3
eyebrows : 4
hogwarts, : 8
strictly : 1
speakin' : 1
follow : 18
reasons : 2
keen : 3
aren't : 13
magic? : 2
expelled : 10
truth : 7
third : 15
wand : 58
gamekeeper : 4
dumbledore. : 2
expelled? : 2
tomorrow, : 2
that. : 6
kip : 1
wriggles : 1
dormice : 1
pockets. : 2
diagon : 8
alley : 7
cupboard. : 1
tapping : 4
sunlight : 3
rapping : 1
claw : 1
scrambled : 5
balloon : 3
swelling : 1
fluttered : 4
attack : 2
wave : 3
fiercely : 2
savaging : 1
hagrid!" : 4
pay : 5
what?" : 8
payin' : 1
deliverin' : 1
bunches : 1
pellets : 1
string : 1
peppermint : 3
humbugs : 2
teabags.. : 1
handful : 2
strange-looking : 1
coins : 5
knuts, : 1
sleepily : 3
knuts?" : 1
bronze : 5
ones. : 1
money : 15
pouch : 1
tied : 2
flew : 12
school. : 4
puncture : 1
um : 1
hagrid? : 6
mm?" : 1
learn : 13
magic. : 2
worry : 11
d'yeh : 4
didn' : 4
gringotts : 23
wizards' : 3
wouldn' : 4
teh : 1
neither. : 1
banks? : 1
goblins. : 1
goblins?" : 1
yeah : 10
yeh'd : 4
rob : 5
mess : 3
goblins : 5
safest : 2
'cept : 1
business. : 1
proudly : 3
fetchin' : 1
followed : 20
clear : 6
gleamed : 1
hired : 1
flew," : 1
flew?" : 1
s'pposed : 2
yeh. : 2
settled : 1
shame : 4
row : 10
though, : 4
giving : 9
looks : 8
speed : 6
mentionin' : 1
hogwarts? : 2
not, : 3
eager : 2
land : 2
gringotts? : 2
spells : 6
enchantments, : 1
dragons : 12
guardin' : 2
highsecurity : 1
vaults : 3
miles : 5
tryin' : 1
manage : 4
summat. : 1
daily : 3
prophet : 2
alone : 17
many : 27
ministry : 7
messin' : 1
usual, : 1
page : 2
'course," : 1
minister : 1
0 : 1
' : 1
cornelius : 1
fudge : 4
bungler : 1
pelts : 1
askin' : 3
advice. : 1
do? : 5
main : 2
country. : 1
why? : 1
everyone'd : 1
wantin' : 1
solutions : 1
alone. : 1
bumped : 1
harbor : 2
folded : 3
clambered : 6
steps : 9
station : 11
meters : 1
panting : 1
say, : 1
crikey, : 1
dragon. : 1
one? : 2
train : 30
money, : 1
bills : 1
tickets : 1
seats : 7
knitting : 1
canary-yellow : 1
circus : 1
tent : 2
stitches : 1
good," : 1
need. : 1
unfolded : 1
first-year : 3
students : 26
require: : 1
sets : 1
black) : 2
2 : 2
protective : 1
gloves : 2
dragon : 28
similar : 1
winter : 1
black, : 1
fastenings : 1
pupils' : 1
tags : 1
copy : 2
following: : 1
standard : 2
book : 22
grade : 1
miranda : 1
goshawk : 1
history : 6
bathilda : 1
bagshot : 1
magical : 11
theory : 1
adalbert : 1
waffling : 1
beginners' : 1
guide : 2
transfiguration : 5
emetic : 2
switch : 1
thousand : 17
herbs : 4
fungi : 4
phyllida : 1
spore : 1
drafts : 1
potions : 14
arsenius : 1
jigger : 1
fantastic : 2
beasts : 2
newt : 1
scamander : 1
forces: : 1
self-protection : 1
quentin : 1
trimble : 1
cauldron : 18
pewter, : 1
crystal : 2
phials : 1
telescope : 2
scales : 3
toad : 13
broomsticks : 9
london? : 2
aloud : 2
go, : 4
stuck : 9
ticket : 6
barrier : 10
trains : 1
slow : 3
magic, : 1
climbed : 15
escalator : 2
bustling : 1
lined : 2
shops : 7
parted : 2
crowd : 16
music : 4
stores : 1
cinemas : 1
nowhere : 3
sell : 1
piles : 2
buried : 3
sold : 3
cooked : 1
humor : 1
unbelievable : 1
trusting : 1
halt : 5
leaky : 10
place. : 2
grubby-looking : 1
pub : 3
hurrying : 6
record : 3
steered : 1
shabby : 2
women : 1
drinking : 4
sherry : 1
smoking : 1
pipe : 4
bartender : 4
walnut : 2
buzz : 1
chatter : 2
smiled : 13
can't, : 4
tom : 1
business, : 2
buckle : 2
lord, : 1
peering : 7
--? : 6
bless : 2
soul, : 1
potter.. : 1
honor. : 1
bar : 2
welcome : 5
back. : 5
puffing : 3
scraping : 3
chairs : 3
doris : 3
crockford : 3
last. : 1
proud. : 1
flutter. : 1
delighted, : 1
diggle's : 2
diggle. : 1
before! : 1
excitement : 5
shop. : 1
remembers! : 1
remembers : 2
twitching : 4
quirrell! : 1
quirrell : 85
p-p-potter," : 1
grasping : 1
c-can't : 1
t-tell : 1
p- : 1
meet : 16
you. : 18
quirrell? : 3
d-defense : 1
d-d-dark : 1
arts, : 1
n-not : 1
n-need : 1
p-p-potter? : 1
g-getting : 1
g-got : 1
p-pick : 1
b-book : 1
vampires : 3
m-myself. : 1
others : 15
babble : 3
walled : 1
courtyard : 2
weeds : 1
grinned : 5
tremblin' : 1
tremblin'. : 1
nervous? : 1
bloke : 1
brilliant : 4
studyin' : 1
firsthand : 1
experience... : 1
hag : 1
umbrella? : 1
hags : 1
bricks : 1
up.. : 1
quivered : 1
wriggled : 2
wider : 2
facing : 9
archway : 5
cobbled : 1
twisted : 8
welcome," : 2
alley. : 1
shrink : 1
instantly : 1
solid : 7
brightly : 4
stack : 2
cauldrons : 4
sizes : 1
pewter : 2
self-stirring : 1
collapsible : 2
hanging : 12
yeah, : 4
needin' : 1
one, : 5
first. : 3
once: : 3
plump : 4
apothecary : 3
liver : 2
seventeen : 3
sickles : 3
ounce : 2
mad.... : 1
soft : 6
hooting : 1
eeylops : 2
emporium : 2
screech : 3
barn : 2
look," : 2
nimbus : 15
fastest : 2
selling : 2
telescopes : 2
instruments : 1
stacked : 2
barrels : 2
bat : 4
spleens : 1
eels' : 1
tottering : 1
quills : 7
potion : 9
globes : 1
moon... : 1
gringotts," : 1
towered : 3
burnished : 1
scarlet : 6
goblin, : 1
goblin : 9
shorter : 1
swarthy : 1
clever : 2
engraved : 1
upon : 2
them: : 1
enter : 3
heed : 1
awaits : 1
sin : 1
greed : 2
earn : 3
dearly : 1
seek : 2
floors : 4
treasure : 2
thief : 1
warned : 7
beware : 1
finding : 7
marble : 8
hundred : 29
stools : 2
counter : 4
scribbling : 1
ledgers : 1
weighing : 3
examining : 1
stones : 3
eyeglasses : 1
leading : 6
morning," : 1
free : 13
safe. : 2
key : 12
somewhere, : 2
emptying : 2
scattering : 2
biscuits : 2
goblin's : 1
pile : 13
rubies : 1
glowing : 3
coals : 1
closely : 3
order. : 1
dumbledore, : 5
importantly : 2
chest : 5
youknow-what : 1
vault : 9
thirteen. : 1
handing : 3
griphook! : 1
griphook : 11
crammed : 2
you-know-what : 1
thirteen? : 1
mysteriously : 1
trusted : 2
more'n : 2
job's : 1
narrow : 10
passageway : 8
flaming : 4
torches : 2
sloped : 3
steeply : 1
downward : 3
railway : 1
tracks : 3
hurtling : 1
difficulty : 3
hurtled : 5
maze : 1
twisting : 2
passages : 1
fork : 3
impossible : 4
rattling : 4
stung : 1
passage : 4
plunged : 3
deeper : 4
lake : 6
stalactites : 1
stalagmites : 1
stalagmite : 1
stalactite? : 1
stalagmite's : 1
'm' : 1
gonna : 4
lean : 1
unlocked : 1
smoke : 6
billowing : 2
mounds : 1
columns : 1
heaps : 1
knuts : 4
yours, : 2
blinking : 4
cost : 3
fortune : 1
belonging : 1
helped : 5
ones : 11
galleons, : 1
galleon : 1
twenty-nine : 1
sickle : 2
terms : 1
thirteen : 5
slowly? : 1
only, : 1
gathering : 2
became : 16
colder : 3
corners : 1
ravine : 1
leaned : 12
scruff : 1
back, : 5
melted : 2
sucked : 1
trapped : 2
there, : 3
check : 2
anyone's : 2
inside? : 2
years, : 2
extraordinary : 2
security : 2
expecting : 2
fabulous : 1
jewels : 1
grubby : 3
longed : 1
infernal : 1
shut, : 1
ride : 2
galleons : 3
pound : 2
malkin's : 4
occasions : 2
listen, : 4
pick-me-up : 1
hate : 8
carts. : 1
nervous : 13
malkin : 3
squat : 1
mauve : 1
clear? : 1
footstool : 2
pinned : 6
stool : 8
robe : 3
pin : 2
length : 2
hello," : 2
too? : 2
father's : 6
wands, : 1
drawling : 2
drag : 3
brooms : 13
bully : 1
smuggle : 1
somehow. : 1
broom? : 1
play : 16
quidditch : 54
says : 12
crime : 2
agree : 1
slytherin : 43
hufflepuff : 13
mmm," : 1
interesting : 9
man! : 1
grinning : 2
show : 13
works : 1
servant : 2
gamekeeper, : 1
liking : 3
savage : 1
lives : 4
drunk : 2
tries : 3
ends : 4
setting : 3
bed. : 3
brilliant, : 2
slight : 2
sneer : 3
parents? : 1
dead, : 1
sorry, : 6
other, : 1
mean. : 2
surname : 1
dear, : 2
excuse : 8
hopped : 2
suppose, : 1
raspberry : 1
chopped : 1
nuts) : 1
up? : 1
nothing," : 3
lied : 1
cheered : 3
color : 3
wrote : 1
quidditch? : 3
blimey, : 1
forgettin' : 1
quidditch! : 1
worse, : 1
pate : 1
--and : 2
in. : 2
wizardin' : 1
0' : 2
sister! : 1
sport : 2
soccer : 6
follows : 2
played : 3
sorta : 2
rules. : 1
hufflepuff? : 1
houses : 6
duffers : 1
gloomily : 1
slytherin, : 2
one. : 4
vol-, : 1
ago, : 3
flourish : 1
blotts : 1
paving : 1
postage : 2
stamps : 1
covers : 2
silk : 3
symbols : 1
curses : 2
countercurses : 1
bewitch : 1
befuddle : 1
enemies : 3
latest : 2
revenges: : 1
loss : 1
jelly-legs : 1
tongue- : 1
tying : 1
vindictus : 1
viridian : 1
circumstances, : 1
couldn' : 1
study : 9
level. : 1
"it : 1
list") : 1
ingredients : 3
fascinating : 1
mixture : 4
rotted : 1
cabbages : 1
slimy : 1
jars : 2
dried : 2
roots : 2
powders : 1
bundles : 1
feathers : 5
strings : 1
fangs : 5
claws : 2
hung : 12
supply : 1
basic : 1
unicorn : 20
horns : 2
twenty-one : 1
minuscule : 1
glittery-black : 1
scoop) : 1
checked : 2
present. : 2
animal : 2
sneeze : 1
kids : 1
everythin'. : 1
rustling : 4
jewel-bright : 2
cage : 4
beautiful : 3
wing : 6
stammering : 1
thanks : 8
lotta : 1
ollivanders : 2
wand. : 2
wand.. : 1
peeling : 2
ollivanders: : 1
makers : 1
382 : 1
b.c : 1
cushion : 1
dusty : 2
tinkling : 1
bell : 5
depths : 2
spindly : 3
strict : 3
occurred : 1
thousands : 7
boxes : 3
piled : 7
neatly : 2
prickled : 2
dust : 1
tingle : 1
afternoon, : 2
shining : 2
moons : 2
gloom : 3
awkwardly : 1
potter. : 3
quarter : 1
inches : 11
swishy : 1
willow : 1
charm : 3
work. : 1
ollivander : 17
blink : 2
silvery : 4
creepy : 2
favored : 3
mahogany : 2
pliable : 1
excellent : 5
chooses : 2
course. : 1
reflected : 4
misty : 3
where... : 1
finger : 3
softly : 4
thirteen-and-a-half : 2
yew : 2
hands.. : 1
do.... : 1
rubeus! : 1
again... : 1
oak : 5
bendy : 1
shuffling : 2
added : 13
them? : 2
gripped : 3
tightly : 5
hmmm," : 1
see. : 2
measure : 3
arm? : 2
right-handed, : 1
measured : 2
elbow : 2
armpit : 1
core : 1
substance : 2
hairs : 2
phoenix : 4
heartstrings : 1
unicorns : 2
phoenixes : 1
results : 4
wizard's : 7
measuring : 2
nostrils : 8
flitting : 1
do, : 3
crumpled : 3
heap : 2
beechwood : 1
heartstring : 1
flexible : 1
wave. : 1
foolish : 4
snatched : 4
maple : 1
feather : 7
whippy : 1
-here : 1
ebony : 1
springy : 1
out. : 4
mounting : 1
higher : 7
happier : 2
tricky : 3
customer : 1
match : 24
combination : 1
holly : 2
supple. : 1
sudden : 14
stream : 2
sparks : 7
firework : 1
spots : 3
whooped : 1
clapped : 11
bravo : 1
indeed : 9
well.. : 1
curious.. : 2
muttering : 7
curious... : 1
curious. : 1
curious? : 1
happens : 4
whose : 3
curious : 2
destined : 1
brother : 8
remember... : 1
potter... : 3
he- : 1
who-must-not-be-named : 1
great. : 1
paid : 3
gawking : 1
laden : 2
funny-shaped : 1
packages : 4
paddington : 1
bite : 4
leaves, : 1
plastic : 5
quiet, : 1
chewed : 1
thinks : 7
special, : 1
ollivander.. : 1
vol- : 4
died. : 1
beginning : 1
yerself : 2
singled : 1
'smatter : 1
fact. : 1
king's : 6
cross : 9
send : 21
she'll : 3
me... : 3
journey : 1
platform : 18
three-quarters : 5
month : 3
acted : 2
improvement : 1
depressing : 1
hedwig : 12
swooping : 4
vacuum : 1
mice : 3
ticked : 3
august : 1
quiz : 1
vernon? : 1
lift? : 1
grunt : 1
carpets : 1
punctures : 1
o'clock, : 1
three-quarters. : 2
ticket. : 1
barking," : 1
bother. : 1
hospital, : 1
ruddy : 3
removed : 1
goes : 10
smeltings. : 1
excited : 4
jeans : 1
paced : 2
trunk : 9
loaded : 1
talked : 3
dumped : 1
wheeled : 2
platforms : 6
built : 1
term, : 1
nastier : 1
laughing : 8
dry : 3
attract : 2
guard : 7
part : 4
annoyed : 1
desperate : 7
wasters : 1
according : 1
arrivals : 1
board : 6
stranded : 1
lift : 3
inspector's : 1
packed : 7
speaker : 1
pushing : 3
number? : 1
boys' : 2
three-quarters! : 1
piped : 1
red-headed : 1
mom, : 1
go.. : 1
ginny : 5
percy : 33
oldest : 3
marched : 7
dividing : 1
tourists : 1
swarming : 1
backpack : 1
fred, : 2
next, : 1
fred : 31
george, : 1
honestly, : 2
george? : 1
george : 26
dear. : 3
joking : 3
briskly : 2
hello, : 1
ron's : 19
too. : 2
youngest : 6
sons : 1
gangling : 1
freckles : 4
platform? : 1
worry, : 1
ron. : 4
okay, : 2
trolley : 1
jostled : 3
come.. : 1
running.. : 1
steam : 1
express : 2
wrought-iron : 1
drifted : 2
chattering : 2
wound : 3
hooted : 2
disgruntled : 2
trunks : 4
carriages : 1
search : 4
round-faced : 2
gran, : 1
again. : 2
neville, : 5
sigh : 3
dreadlocks : 1
surrounded : 1
lee : 10
lifted : 2
lid : 1
poked : 3
hairy : 4
compartment : 9
shove : 1
heave : 1
raise : 2
painfully : 2
hand? : 1
red-haired : 2
twins : 21
please, : 4
panted : 6
oy, : 3
c'mere : 1
help! : 1
twins' : 2
thanks," : 3
sweaty : 3
blimey," : 1
is, : 3
chorused : 1
am. : 2
gawked : 1
floating : 6
train's : 1
fred? : 1
coming, : 2
mom. : 3
ron, : 3
nose. : 1
jerk : 2
geroff : 1
aaah, : 1
ronnie : 1
somefink : 1
nosie? : 1
up, : 9
ron : 400
percy? : 2
striding : 2
badge : 3
p : 2
mother, : 1
prefects : 5
compartments : 1
themselves : 14
prefect : 8
idea. : 1
hang : 10
prefect, : 1
fondly : 1
there. : 7
behave : 1
yourselves : 4
toilet. : 1
ronniekins : 1
us. : 5
rubbed : 1
hey, : 4
guess : 3
train? : 1
black-haired : 4
is? : 2
who?" : 1
potter! : 6
girl's : 1
please.... : 1
goggle : 1
know? : 2
lightning. : 1
polite : 2
platform. : 1
like? : 3
reminding : 1
whistle : 5
loads : 7
owls. : 1
seat. : 1
george!" : 1
waving : 7
gathered : 3
disappear : 1
rounded : 4
flashed : 4
redheaded : 1
full. : 1
glanced : 3
jordan's : 1
tarantula : 1
right," : 3
harry," : 1
introduce : 2
ourselves : 4
weasley : 43
bye," : 1
potter? : 6
blurted : 3
-well : 2
george's : 1
jokes, : 1
nothing?" : 1
else. : 2
wow," : 2
moments : 4
wizards? : 1
accountant : 1
already. : 2
weasleys : 11
muggles, : 1
wish : 7
brothers. : 1
five," : 1
gloomy : 3
sixth : 2
charlie : 13
captain : 5
percy's : 2
expects : 1
deal : 3
brothers : 11
bill's : 2
charlie's : 9
rat. : 1
scabbers : 12
useless : 1
wakes : 1
aff : 1
instead. : 1
ears : 12
afford : 5
you-know-who's : 3
impressed : 5
brave : 6
name, : 1
learn... : 1
bet, : 1
voicing : 1
class. : 1
quick : 5
enough. : 1
fields : 3
cows : 1
sheep : 1
lanes : 1
flick : 4
clattering : 1
corridor : 29
dimpled : 1
dears? : 1
sandwiches : 5
candy : 4
mars : 5
bars : 3
bettie : 3
bott's : 4
flavor : 9
beans : 6
drooble's : 1
gum : 1
frogs : 8
pumpkin : 4
pasties : 3
cakes : 6
licorice : 1
miss : 13
tipped : 2
hungry, : 1
starving," : 1
pasty : 2
unwrapped : 5
forgets : 1
corned : 1
beef. : 1
swap : 1
these, : 3
dry, : 1
time, : 3
pasty, : 1
share : 4
eating : 9
candies : 1
forgotten) : 1
these? : 2
card : 10
agrippa. : 1
cards : 5
collect : 2
agrippa : 2
ptolemy. : 1
half- : 1
moon : 2
flowing : 1
picture : 2
dumbledore! : 2
currently : 2
considered : 1
modern : 3
particularly : 7
defeat : 2
grindelwald : 2
1945 : 2
discovery : 2
uses : 3
dragon's : 5
blood : 21
alchemy : 3
partner : 3
nicolas : 15
flamel : 22
enjoys : 2
chamber : 15
tenpin : 1
bowling : 1
astonishment : 1
gone! : 2
morgana : 2
her.. : 1
collecting. : 1
strayed : 1
yourself, : 2
photos. : 1
amazed : 4
weird!" : 2
sidled : 2
hengist : 1
woodcroft : 1
alberic : 1
grunnion : 1
circe : 1
paracelsus : 1
tore : 4
druidess : 1
cliodna : 1
bertie : 1
those, : 2
mar- : 1
malade : 1
spinach : 1
tripe : 1
reckons : 2
booger- : 1
flavored : 1
once. : 2
bean : 3
bleaaargh : 1
sprouts. : 1
coconut : 2
baked : 2
strawberry : 1
curry : 1
grass : 8
coffee : 1
sardine : 1
nibble : 2
pepper : 1
countryside : 3
becoming : 5
wilder : 1
woods : 1
rivers : 1
hills : 1
threequarters : 1
tearful : 1
keeps : 2
him... : 1
bothered, : 1
talk. : 2
snoozing : 1
difference, : 1
look... : 2
rummaged : 1
battered-looking : 1
hair's : 1
'wand : 1
toadless : 3
neville's : 15
bossy : 2
let's : 10
aback : 1
sunshine, : 1
daisies : 1
butter : 1
mellow : 1
yellow. : 1
spell? : 1
simple : 3
practice : 12
family's : 2
hermione : 244
granger : 20
stunned : 6
weasley, : 1
potter, : 8
really? : 2
extra : 6
background : 1
rise : 3
arts : 7
events : 3
twentieth : 2
century : 4
dazed : 1
goodness, : 1
gryffindor : 75
sounds : 3
ravenclaw : 9
bad... : 1
soon. : 1
she's : 8
dud. : 1
in? : 5
gryffindor," : 2
settling : 1
